,"LATITUDE",,"LONGITUDE",,"10,2141871858","22,6078228947","16,9398861703","15,8754718179","697,2426572412","343,17573225"
"{ lat: ","35,1",", lng:","-1,85","},",,,,,"311,7602136713","524,1101854435"
"{ lat: ","27,87092",", lng:","-0,28563","},",,,,,"519,5840871772","84,6422612783"
"{ lat: ","-12,5802",", lng:","13,4077","},",,,,,"360,77914685","21,3242882872"
"{ lat: ","-8,78",", lng:","17,99","},",,,,,"390,413622822","39,2204455217"
"{ lat: ","-9,5447",", lng:","16,3452","},",,,,,"519,5840871772","84,6422612783"
"{ lat: ","-12,5802",", lng:","13,4077","},",,,,,"394,5859325534","4,8744819345"
"{ lat: ","-9,65",", lng:","20,4","},",,,,,"9,1913697293","423,4681962934"
"{ lat: ","7,18246",", lng:","2,02948","},",,,,,"14,9319426071","407,0113740303"
"{ lat: ","6,35",", lng:","2,4333","},",,,,,"14,9319426071","407,0113740303"
"{ lat: ","6,35",", lng:","2,4333","},",,,,,"14,9319426071","407,0113740303"
"{ lat: ","6,35",", lng:","2,4333","},",,,,,"14,9319426071","407,0113740303"
"{ lat: ","6,35",", lng:","2,4333","},",,,,,"10,7640238738","437,8344029019"
"{ lat: ","6,93333",", lng:","1,68333","},",,,,,"4,6488224675","582,378661265"
"{ lat: ","12,3703",", lng:","-1,5247","},",,,,,"0,0046570817","757,5861488695"
"{ lat: ","10,28243",", lng:","-4,91646","},",,,,,"4,6488224675","582,378661265"
"{ lat: ","12,3703",", lng:","-1,5247","},",,,,,"12,6270979717","609,0428187413"
"{ lat: ","13,76765",", lng:","-2,07097","},",,,,,"4,6488224675","582,378661265"
"{ lat: ","12,3703",", lng:","-1,5247","},",,,,,"4,6488224675","582,378661265"
"{ lat: ","12,3703",", lng:","-1,5247","},",,,,,"0,0046570817","757,5861488695"
"{ lat: ","10,28243",", lng:","-4,91646","},",,,,,"5,4397763561","512,2166078685"
"{ lat: ","12,54652",", lng:","-0,02438","},",,,,,"7,5945042668","517,9185029082"
"{ lat: ","12,97",", lng:","-0,15","},",,,,,"9,2668054731","520,7926960953"
"{ lat: ","13,25833",", lng:","-0,21306","},",,,,,"6,2273346569","517,0595239701"
"{ lat: ","12,70965",", lng:","-0,13112","},",,,,,"4,6488224675","582,378661265"
"{ lat: ","12,3703",", lng:","-1,5247","},",,,,,"15,9662003825","597,2800147669"
"{ lat: ","14,20996",", lng:","-1,83149","},",,,,,"5,3784233926","574,7763095598"
"{ lat: ","12,53333",", lng:","-1,36667","},",,,,,"12,6270979717","609,0428187413"
"{ lat: ","13,76765",", lng:","-2,07097","},",,,,,"4,6488224675","582,378661265"
"{ lat: ","12,3703",", lng:","-1,5247","},",,,,,"4,6488224675","582,378661265"
"{ lat: ","12,3703",", lng:","-1,5247","},",,,,,"4,6488224675","582,378661265"
"{ lat: ","12,3703",", lng:","-1,5247","},",,,,,"192,4680973403","56,8919779143"
"{ lat: ","-3,6591",", lng:","30,1505","},",,,,,"180,8349116128","53,3787626681"
"{ lat: ","-3,2333",", lng:","29,9139","},",,,,,"175,413791928","57,0474631526"
"{ lat: ","-3,0302",", lng:","30,1608","},",,,,,"207,6477306955","50,4565456342"
"{ lat: ","-4,1958",", lng:","29,7111","},",,,,,"207,4229957354","49,840452776"
"{ lat: ","-4,188",", lng:","29,6676","},",,,,,"212,0223478257","48,9380990357"
"{ lat: ","-4,3468",", lng:","29,6034","},",,,,,"176,3899330648","46,9838563866"
"{ lat: ","-3,067",", lng:","29,4623","},",,,,,"205,8934332589","51,7849649303"
"{ lat: ","-4,1348",", lng:","29,804","},",,,,,"183,6021527359","50,1926496858"
"{ lat: ","-3,3358",", lng:","29,6925","},",,,,,"182,3036579661","50,4409196345"
"{ lat: ","-3,2878",", lng:","29,71","},",,,,,"209,3978935025","49,0332851243"
"{ lat: ","-4,2564",", lng:","29,6102","},",,,,,"175,4694227641","63,6257823162"
"{ lat: ","-3,0323",", lng:","30,5844","},",,,,,"175,413791928","57,0474631526"
"{ lat: ","-3,0302",", lng:","30,1608","},",,,,,"184,6660083713","51,4143078317"
"{ lat: ","-3,375",", lng:","29,7782","},",,,,,"181,599535445","46,413931886"
"{ lat: ","-3,2617",", lng:","29,4206","},",,,,,"182,4630162249","51,2867543292"
"{ lat: ","-3,2937",", lng:","29,7693","},",,,,,"181,7747642284","49,0010794796"
"{ lat: ","-3,2682",", lng:","29,6079","},",,,,,"192,4403517659","59,8283238335"
"{ lat: ","-3,6581",", lng:","30,3427","},",,,,,"205,7241500201","53,7930875222"
"{ lat: ","-4,1289",", lng:","29,9422","},",,,,,"195,0124881979","50,135988269"
"{ lat: ","-3,7505",", lng:","29,6885","},",,,,,"189,7833333788","58,8438897495"
"{ lat: ","-3,562",", lng:","30,2788","},",,,,,"199,9986299714","54,5260715219"
"{ lat: ","-3,9279",", lng:","29,992","},",,,,,"179,6052194266","44,695604125"
"{ lat: ","-3,1875",", lng:","29,2933","},",,,,,"181,599535445","46,413931886"
"{ lat: ","-3,2617",", lng:","29,4206","},",,,,,"184,7937688208","45,6445778523"
"{ lat: ","-3,3797",", lng:","29,3639","},",,,,,"205,8934332589","51,7849649303"
"{ lat: ","-4,1348",", lng:","29,804","},",,,,,"184,7937688208","45,6445778523"
"{ lat: ","-3,3797",", lng:","29,3639","},",,,,,"180,4397715796","63,1226612032"
"{ lat: ","-3,2186",", lng:","30,5528","},",,,,,"196,2657312097","51,3082410105"
"{ lat: ","-3,7953",", lng:","29,7708","},",,,,,"176,3811675902","49,8273224555"
"{ lat: ","-3,06667",", lng:","29,66667","},",,,,,"184,1119856941","48,3049617945"
"{ lat: ","-3,3546",", lng:","29,558","},",,,,,"171,6033763324","43,5190514174"
"{ lat: ","-2,88556",", lng:","29,20472","},",,,,,"171,6033763324","43,5190514174"
"{ lat: ","-2,88556",", lng:","29,20472","},",,,,,"186,2539064872","48,8905406714"
"{ lat: ","-3,4333",", lng:","29,6","},",,,,,"168,3814338815","44,1517338332"
"{ lat: ","-2,762",", lng:","29,2525","},",,,,,"181,3274245338","45,7770930035"
"{ lat: ","-3,2516",", lng:","29,3737","},",,,,,"176,0262162259","56,6072219297"
"{ lat: ","-3,0533",", lng:","30,1316","},",,,,,"181,7397117117","52,9165622696"
"{ lat: ","-3,2669",", lng:","29,8822","},",,,,,"167,6363886296","44,1359209178"
"{ lat: ","-2,73326",", lng:","29,25131","},",,,,,"205,7241500201","53,7930875222"
"{ lat: ","-4,1289",", lng:","29,9422","},",,,,,"176,2624567079","65,5108465951"
"{ lat: ","-3,0622",", lng:","30,7017","},",,,,,"188,50101511","45,9409736395"
"{ lat: ","-3,51538",", lng:","29,3858","},",,,,,"185,4059999942","46,1486138289"
"{ lat: ","-3,4022",", lng:","29,4011","},",,,,,"172,4412083463","45,9925007055"
"{ lat: ","-2,9175",", lng:","29,3896","},",,,,,"187,0115650794","62,0527549638"
"{ lat: ","-3,46103",", lng:","30,48518","},",,,,,"186,7162970282","58,6636066656"
"{ lat: ","-3,45023",", lng:","30,26704","},",,,,,"164,3956622911","54,5216411056"
"{ lat: ","-2,6075",", lng:","29,9917","},",,,,,"204,4352971734","50,4636491613"
"{ lat: ","-4,0839",", lng:","29,7116","},",,,,,"186,5706627499","62,8670921504"
"{ lat: ","-3,4449",", lng:","30,5367","},",,,,,"167,7954209807","43,3553387497"
"{ lat: ","-2,7394",", lng:","29,1923","},",,,,,"186,4504821426","49,1495934743"
"{ lat: ","-3,4405",", lng:","29,6185","},",,,,,"203,0934859779","51,7705735761"
"{ lat: ","-4,0369",", lng:","29,803","},",,,,,"189,3895389153","48,3703155493"
"{ lat: ","-3,5477",", lng:","29,5627","},",,,,,"204,4352971734","50,4636491613"
"{ lat: ","-4,0839",", lng:","29,7116","},",,,,,"204,4352971734","50,4636491613"
"{ lat: ","-4,0839",", lng:","29,7116","},",,,,,"166,348529072","59,8475078663"
"{ lat: ","-2,68343",", lng:","30,34394","},",,,,,"210,1771347031","52,2075193987"
